#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 08 04 00 999 99.0 99.0  0.74  6.90 99.00  90 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 08 05 00 999 99.0 99.0  0.73  7.27 99.00  88 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 08 06 00 999 99.0 99.0  0.67  6.25 99.00  92 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 08 07 00 999 99.0 99.0  0.70  7.27 99.00  88 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 08 08 00 999 99.0 99.0  0.59  7.69 99.00  95 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 08 09 00 999 99.0 99.0  0.62  5.97 99.00  82 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 08 10 00 999 99.0 99.0  0.67  7.27 99.00  90 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 08 11 00 999 99.0 99.0  0.63  6.56 99.00  97 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 08 12 00 999 99.0 99.0  0.57  7.69 99.00  95 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 08 13 00 999 99.0 99.0  0.64  7.69 99.00  84 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 08 14 00 999 99.0 99.0  0.69  5.26 99.00 101 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 08 15 00 999 99.0 99.0  0.70  5.48 99.00  91 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 08 16 00 999 99.0 99.0  0.70  5.26 99.00 101 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 08 17 00 999 99.0 99.0  0.70  6.25 99.00  90 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 08 18 00 999 99.0 99.0  0.72  6.25 99.00  92 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 08 19 00 999 99.0 99.0  0.69  6.56 99.00  97 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 08 20 00 999 99.0 99.0  0.66  6.56 99.00  92 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 08 21 00 999 99.0 99.0  0.71  6.90 99.00  94 9999.0 999.0 999.0 999.0 99.0 99.00
2019 01 09 00 00 999 99.0 99.0  0.65  6.90 99.00  94 9999.0 999.0 999.0 999.0 99.0 99.00
